nom_pkmn,nom_pkmn_us,num_pokedex,url_image,type_1,type_2,taille_m,poids_kg,talent_1,talent_2,talent_cache,sexe,taux_de_capture,cycle_eclosion,groupe_oeuf_1,groupe_oeuf_2,points_effort,points_exp,exp_niv100,pv,attaque,attaque_speciale,defense,defense_speciale,vitesse
Bulbizarre,Bulbasaur,0001,/images/thumb/e/ef/Bulbizarre-RFVF.png/250px-Bulbizarre-RFVF.png,Plante,Poison,"0,7","6,9",Engrais,,Chlorophylle,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+1 Att. Spé,64 exp.,1 059 860 exp.,45,49,49,49,65,45
Tortank Gigamax,Gigantamax Blastoise,0009,/images/thumb/e/e3/Tortank_%28Gigamax%29-EB.png/250px-Tortank_%28Gigamax%29-EB.png,Eau,,"25,0","???,?",Torrent,,Cuvette,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Tortank,Blastoise,0009,/images/thumb/2/24/Tortank-RFVF.png/250px-Tortank-RFVF.png,Eau,,"1,6","85,5",Torrent,,Cuvette,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Monstrueux,+3 Déf. Spé,210 exp.,1 059 860 exp.,79,83,100,100,105,78
Carabaffe,Wartortle,0008,/images/thumb/2/2a/Carabaffe-RFVF.png/250px-Carabaffe-RFVF.png,Eau,,"1,0","22,5",Torrent,,Cuvette,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Monstrueux,+1 Déf. ; +1 Déf. Spé,143 exp.,1 059 860 exp.,59,63,80,80,80,58
Carapuce,Squirtle,0007,/images/thumb/c/cc/Carapuce-RFVF.png/250px-Carapuce-RFVF.png,Eau,,"0,5","9,0",Torrent,,Cuvette,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Monstrueux,+1 Déf.,66 exp.,1 059 860 exp.,44,48,65,65,64,43
Méga-Dracaufeu Y,Mega Charizard Y,0006,/images/thumb/0/0b/M%C3%A9ga-Dracaufeu_Y-XY.png/250px-M%C3%A9ga-Dracaufeu_Y-XY.png,Feu,Vol,"1,7","100,5",Sécheresse,,,12.5 % femelle; 87.5 % mâle,,,,,,,,78,104,78,78,115,100
Méga-Dracaufeu X,Mega Charizard X,0006,/images/thumb/4/46/M%C3%A9ga-Dracaufeu_X-XY.png/250px-M%C3%A9ga-Dracaufeu_X-XY.png,Feu,Dragon,"1,7","110,5",Griffe Dure,,,12.5 % femelle; 87.5 % mâle,,,,,,,,78,130,111,111,85,100
Dracaufeu Gigamax,Gigantamax Charizard,0006,/images/thumb/8/8b/Dracaufeu_%28Gigamax%29-EB.png/250px-Dracaufeu_%28Gigamax%29-EB.png,Feu,Vol,"28,0","???,?",Brasier,,Force Soleil,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Dracaufeu,Charizard,0006,/images/thumb/1/17/Dracaufeu-RFVF.png/250px-Dracaufeu-RFVF.png,Feu,Vol,"1,7","90,5",Brasier,,Force Soleil,12.5 % femelle; 87.5 % mâle,45,20,Draconique,Monstrueux,+3 Att. Spé,209 exp.,1 059 860 exp.,78,84,78,78,85,100
Reptincel,Charmeleon,0005,/images/thumb/6/64/Reptincel-RFVF.png/250px-Reptincel-RFVF.png,Feu,,"1,1","19,0",Brasier,,Force Soleil,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Draconique,+1 Vit. ; +1 Att. Spé,142 exp.,1 059 860 exp.,58,64,58,58,65,80
Salamèche,Charmander,0004,/images/thumb/8/89/Salam%C3%A8che-RFVF.png/250px-Salam%C3%A8che-RFVF.png,Feu,,"0,6","8,5",Brasier,,Force Soleil,12.5 % femelle; 87.5 % mâle,45,20,Draconique,Monstrueux,+1 Vit.,65 exp.,1 059 860 exp.,39,52,43,43,50,65
Méga-Florizarre,Mega Venusaur,0003,/images/thumb/1/13/M%C3%A9ga-Florizarre-XY.png/250px-M%C3%A9ga-Florizarre-XY.png,Plante,Poison,"2,4","155,5",Isograisse,,,12.5 % femelle; 87.5 % mâle,,,,,,,,80,100,123,123,120,80
Florizarre Gigamax,Gigantamax Venusaur,0003,/images/thumb/2/2e/Florizarre_%28Gigamax%29-EB.png/250px-Florizarre_%28Gigamax%29-EB.png,Plante,Poison,"24,0","???,?",Engrais,,Chlorophylle,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Florizarre,Venusaur,0003,/images/thumb/4/42/Florizarre-RFVF.png/250px-Florizarre-RFVF.png,Plante,Poison,"2,0","100,0",Engrais,,Chlorophylle,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+2 Att. Spé ; +1 Déf. Spé,236 exp. (208 (Première à quatrième génération)),1 059 860 exp.,80,82,83,83,100,80
Herbizarre,Ivysaur,0002,/images/thumb/4/44/Herbizarre-RFVF.png/250px-Herbizarre-RFVF.png,Plante,Poison,"1,0","13,0",Engrais,,Chlorophylle,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+1 Att. Spé ; +1 Déf. Spé,141 exp.,1 059 860 exp.,60,62,63,63,80,60
