nom_pkmn,nom_pkmn_us,num_pokedex,url_image,url_cri,type_1,type_2,taille_m,poids_kg,talent_1,talent_2,talent_cache,sexe,taux_de_capture,cycle_eclosion,groupe_oeuf_1,groupe_oeuf_2,points_effort,points_exp,exp_niv100,pv,attaque,attaque_speciale,defense,defense_speciale,vitesse
Bulbizarre,Bulbasaur,0001,/images/thumb/e/ef/Bulbizarre-RFVF.png/250px-Bulbizarre-RFVF.png,/images/4/49/Cri_0001_XY.ogg,Plante,Poison,"0,7","6,9",Engrais,,Chlorophylle,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+1 Att. Spé,64 exp.,1 059 860 exp.,45,49,49,49,65,45
Pikachu,Pikachu,0025,/images/thumb/7/76/Pikachu-DEPS.png/250px-Pikachu-DEPS.png,/images/2/28/Cri_0025_HOME.ogg,Électrik,,"0,4","6,0",Statik,,Paratonnerre,50 % femelle; 50 % mâle,190,10,Terrestre,Féerique,+2 Vit.,82 exp.,1 000 000 exp.,35,55,40,40,50,90
Arbok,Arbok,0024,/images/thumb/7/7f/Arbok-RFVF.png/250px-Arbok-RFVF.png,/images/6/61/Cri_0024_HOME.ogg,Poison,,"3,5","65,0",Intimidation,Mue,Tension,50 % femelle; 50 % mâle,90,20,Terrestre,Draconique,+2 Att.,147 exp.,1 000 000 exp.,60,95,69,69,79,80
Abo,Ekans,0023,/images/thumb/5/56/Abo-RFVF.png/250px-Abo-RFVF.png,/images/3/3c/Cri_0023_HOME.ogg,Poison,,"2,0","6,9",Intimidation,Mue,Tension,50 % femelle; 50 % mâle,255,20,Terrestre,Draconique,+1 Att.,62 exp.,1 000 000 exp.,35,60,44,44,54,55
Rapasdepic,Fearow,0022,/images/thumb/f/f2/Rapasdepic-RFVF.png/250px-Rapasdepic-RFVF.png,/images/5/5d/Cri_0022_HOME.ogg,Normal,Vol,"1,2","38,0",Regard Vif,,Sniper,50 % femelle; 50 % mâle,90,15,Aérien,,+2 Vit.,162 exp.,1 000 000 exp.,65,90,65,65,61,100
Méga-Charmina,Mega Medicham,0308,/images/thumb/d/d1/M%C3%A9ga-Charmina-XY.png/250px-M%C3%A9ga-Charmina-XY.png,/images/c/c1/Cri_0308_M%C3%A9ga_HOME.ogg,Combat,Psy,"1,3","31,5",Force Pure,,,50 % femelle; 50 % mâle,,,,,,,,60,100,85,85,85,100
Charmina,Medicham,0308,/images/thumb/3/30/Charmina-RS.png/250px-Charmina-RS.png,/images/b/b2/Cri_0308_HOME.ogg,Combat,Psy,"1,3","31,5",Force Pure,,Télépathe,50 % femelle; 50 % mâle,90,20,Humanoïde,,+2 Vit.,153 exp.,1 000 000 exp.,60,60,75,75,75,80
Vibraninf,Vibrava,0329,/images/thumb/a/ad/Vibraninf-RS.png/250px-Vibraninf-RS.png,/images/0/00/Cri_0329_HOME.ogg,Sol,Dragon,"1,1","15,3",Lévitation,,,50 % femelle; 50 % mâle,120,20,Insectoïde,Draconique,+1 Att. ; +1 Vit.,126 exp.,1 059 860 exp.,50,70,50,50,50,70
Rayquaza,Rayquaza,0384,/images/thumb/1/1a/Rayquaza-DEPS.png/250px-Rayquaza-DEPS.png,/images/8/87/Cri_0384_HOME.ogg,Dragon,Vol,"7,0","206,5",Air Lock,,,Asexué,45,120,Inconnu,,+2 Att. ; +1 Att. Spé,220 exp.,1 250 000 exp.,105,150,90,90,90,95
Primo-Groudon,Primal Groudon,0383,/images/thumb/3/37/Primo-Groudon-ROSA.png/250px-Primo-Groudon-ROSA.png,/images/8/89/Cri_0383_Primo_HOME.ogg,Sol,Feu,"5,0","999,7",Terre Finale,,,Asexué,,,,,,,,100,180,160,160,90,90
Groudon,Groudon,0383,/images/thumb/5/5f/Groudon-RS.png/250px-Groudon-RS.png,/images/3/30/Cri_0383_HOME.ogg,Sol,,"3,5","950,0",Sécheresse,,,Asexué,5,120,Inconnu,,+3 Att.,218 exp.,1 250 000 exp.,100,150,140,140,90,90
Primo-Kyogre,Primal Kyogre,0382,/images/thumb/0/00/Primo-Kyogre-ROSA.png/250px-Primo-Kyogre-ROSA.png,/images/4/4b/Cri_0382_Primo_HOME.ogg,Eau,,"9,8","430,0",Mer Primaire,,,Asexué,,,,,,,,100,150,90,90,160,90
